Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Alameda Santos;Jardim Paulista;2;0;Apartamento;R$ 3.100;4102;Alameda Santos, São Paulo, Brasil;60;Jardim Paulista, Alameda Santos;Jardim Paulista, Alameda Santos, São Paulo, Brasil
Rua Tamboril;Parada Inglesa;2;0;Apartamento;R$ 3.100;3720;Rua Tamboril, São Paulo, Brasil;50;Parada Inglesa, Rua Tamboril;Parada Inglesa, Rua Tamboril, São Paulo, Brasil
Rua Leôncio da Costa Vieira;Jardim Piqueroby;2;0;Apartamento;R$ 3.100;3350;Rua Leôncio da Costa Vieira, São Paulo, Brasil;45;Jardim Piqueroby, Rua Leôncio da Costa Vieira;Jardim Piqueroby, Rua Leôncio da Costa Vieira, São Paulo, Brasil
Rua Doutor Seng;Bela Vista;2;0;Apartamento;R$ 3.060;3690;Rua Doutor Seng, São Paulo, Brasil;80;Bela Vista, Rua Doutor Seng;Bela Vista, Rua Doutor Seng, São Paulo, Brasil
Rua José Antônio Coelho;Vila Mariana;2;0;Apartamento;R$ 3.040;3810;Rua José Antônio Coelho, São Paulo, Brasil;72;Vila Mariana, Rua José Antônio Coelho;Vila Mariana, Rua José Antônio Coelho, São Paulo, Brasil
Rua Caio Prado;Consolação;2;0;Apartamento;R$ 3.000;4180;Rua Caio Prado, São Paulo, Brasil;162;Consolação, Rua Caio Prado;Consolação, Rua Caio Prado, São Paulo, Brasil
Avenida Nove de Julho;Jardim Paulista;2;0;Apartamento;R$ 3.000;3965;Avenida Nove de Julho, São Paulo, Brasil;86;Jardim Paulista, Avenida Nove de Julho;Jardim Paulista, Avenida Nove de Julho, São Paulo, Brasil
Rua Anatole de Baudot;Morumbi;2;0;Apartamento;R$ 3.000;3890;Rua Anatole de Baudot, São Paulo, Brasil;68;Morumbi, Rua Anatole de Baudot;Morumbi, Rua Anatole de Baudot, São Paulo, Brasil
Rua Martim Burchard;Jardim Brasília (Zona Norte);2;0;Apartamento;R$ 3.000;3841;Rua Martim Burchard, São Paulo, Brasil;50;Jardim Brasília (Zona Norte), Rua Martim Burchard;Jardim Brasília (Zona Norte), Rua Martim Burchard, São Paulo, Brasil
Rua Machado de Assis;Vila Mariana;2;0;Apartamento;R$ 3.000;3769;Rua Machado de Assis, São Paulo, Brasil;90;Vila Mariana, Rua Machado de Assis;Vila Mariana, Rua Machado de Assis, São Paulo, Brasil
Rua Almirante Brasil;Mooca;2;0;Apartamento;R$ 3.000;3766;Rua Almirante Brasil, São Paulo, Brasil;50;Mooca, Rua Almirante Brasil;Mooca, Rua Almirante Brasil, São Paulo, Brasil
Rua Consolação;Cerqueira César;2;0;Apartamento;R$ 3.000;3731;Rua Consolação, São Paulo, Brasil;85;Cerqueira César, Rua Consolação;Cerqueira César, Rua Consolação, São Paulo, Brasil
Praça da Bandeira;Centro Histórico De São Paulo;2;0;Apartamento;R$ 3.000;3726;Praça da Bandeira, São Paulo, Brasil;118;Centro Histórico De São Paulo, Praça da Bandeira;Centro Histórico De São Paulo, Praça da Bandeira, São Paulo, Brasil
Alameda Barros;Santa Cecília;2;0;Apartamento;R$ 3.000;3720;Alameda Barros, São Paulo, Brasil;50;Santa Cecília, Alameda Barros;Santa Cecília, Alameda Barros, São Paulo, Brasil
Rua Caramuru;Vila Da Saúde;2;0;Apartamento;R$ 3.000;3683;Rua Caramuru, São Paulo, Brasil;33;Vila Da Saúde, Rua Caramuru;Vila Da Saúde, Rua Caramuru, São Paulo, Brasil
Avenida Raimundo Pereira de Magalhães;Jardim Iris;2;0;Apartamento;R$ 3.000;3621;Avenida Raimundo Pereira de Magalhães, São Paulo, Brasil;45;Jardim Iris, Avenida Raimundo Pereira de Magalhães;Jardim Iris, Avenida Raimundo Pereira de Magalhães, São Paulo, Brasil
Rua Josef Kryss;Parque Industrial Tomas Edson;2;0;Apartamento;R$ 3.000;3596;Rua Josef Kryss, São Paulo, Brasil;46;Parque Industrial Tomas Edson, Rua Josef Kryss;Parque Industrial Tomas Edson, Rua Josef Kryss, São Paulo, Brasil
Rua Conde de Sarzedas;Sé;2;0;Apartamento;R$ 3.000;3516;Rua Conde de Sarzedas, São Paulo, Brasil;37;Sé, Rua Conde de Sarzedas;Sé, Rua Conde de Sarzedas, São Paulo, Brasil
Rua Francisca Miquelina;Bela Vista;2;0;Apartamento;R$ 3.000;3504;Rua Francisca Miquelina, São Paulo, Brasil;99;Bela Vista, Rua Francisca Miquelina;Bela Vista, Rua Francisca Miquelina, São Paulo, Brasil
Rua Caiubi;Perdizes;2;0;Apartamento;R$ 3.000;3493;Rua Caiubi, São Paulo, Brasil;75;Perdizes, Rua Caiubi;Perdizes, Rua Caiubi, São Paulo, Brasil
Avenida João Dias;Santo Amaro;2;0;Apartamento;R$ 3.000;3486;Avenida João Dias, São Paulo, Brasil;75;Santo Amaro, Avenida João Dias;Santo Amaro, Avenida João Dias, São Paulo, Brasil
Rua São Paulo;Liberdade;2;0;Apartamento;R$ 3.000;3466;Rua São Paulo, São Paulo, Brasil;50;Liberdade, Rua São Paulo;Liberdade, Rua São Paulo, São Paulo, Brasil
Rua Valson Lopes;Vila Butantã;2;0;Apartamento;R$ 3.000;3435;Rua Valson Lopes, São Paulo, Brasil;38;Vila Butantã, Rua Valson Lopes;Vila Butantã, Rua Valson Lopes, São Paulo, Brasil
Avenida Professor Luiz Ignácio Anhaia Mello;Vila Prudente;2;0;Apartamento;R$ 3.000;3382;Avenida Professor Luiz Ignácio Anhaia Mello, São Paulo, Brasil;45;Vila Prudente, Avenida Professor Luiz Ignácio Anhaia Mello;Vila Prudente, Avenida Professor Luiz Ignácio Anhaia Mello, São Paulo, Brasil
Rua Antônio Gomes Ferreira;Parque Fongaro;2;0;Apartamento;R$ 3.000;3351;Rua Antônio Gomes Ferreira, São Paulo, Brasil;33;Parque Fongaro , Rua Antônio Gomes Ferreira;Parque Fongaro , Rua Antônio Gomes Ferreira, São Paulo, Brasil
Rua Doutor Vicente Giacaglini;Vila Bela;2;0;Apartamento;R$ 3.000;3296;Rua Doutor Vicente Giacaglini, São Paulo, Brasil;40;Vila Bela, Rua Doutor Vicente Giacaglini;Vila Bela, Rua Doutor Vicente Giacaglini, São Paulo, Brasil
Rua Antão Leme da Silva;Cidade Líder;2;0;Apartamento;R$ 3.000;3296;Rua Antão Leme da Silva, São Paulo, Brasil;42;Cidade Líder, Rua Antão Leme da Silva;Cidade Líder, Rua Antão Leme da Silva, São Paulo, Brasil
Rua John Speers;Jardim Helian;2;0;Apartamento;R$ 3.000;3266;Rua John Speers, São Paulo, Brasil;40;Jardim Helian, Rua John Speers;Jardim Helian, Rua John Speers, São Paulo, Brasil
Rua São Jorge;Parque São Jorge;2;0;Apartamento;R$ 3.000;3116;Rua São Jorge, São Paulo, Brasil;63;Parque São Jorge, Rua São Jorge;Parque São Jorge, Rua São Jorge, São Paulo, Brasil
Rua Cardeal Arcoverde;Pinheiros;2;0;Apartamento;R$ 3.000;3116;Rua Cardeal Arcoverde, São Paulo, Brasil;100;Pinheiros, Rua Cardeal Arcoverde;Pinheiros, Rua Cardeal Arcoverde, São Paulo, Brasil
Rua Mariz E Barros;Jardim Da Gloria;2;0;Apartamento;R$ 3.000;3049;Rua Mariz E Barros, São Paulo, Brasil;32;Jardim Da Gloria, Rua Mariz E Barros;Jardim Da Gloria, Rua Mariz E Barros, São Paulo, Brasil
Avenida Rudge;Bom Retiro;2;0;Apartamento;R$ 2.999;3434;Avenida Rudge, São Paulo, Brasil;43;Bom Retiro, Avenida Rudge;Bom Retiro, Avenida Rudge, São Paulo, Brasil
Rua Humaitá;Bela Vista;2;0;Apartamento;R$ 2.950;3697;Rua Humaitá, São Paulo, Brasil;90;Bela Vista, Rua Humaitá;Bela Vista, Rua Humaitá, São Paulo, Brasil
Rua São Bernardo;Cidade Mãe Do Céu;2;0;Apartamento;R$ 2.950;3394;Rua São Bernardo, São Paulo, Brasil;47;Cidade Mãe Do Céu, Rua São Bernardo;Cidade Mãe Do Céu, Rua São Bernardo, São Paulo, Brasil
Rua Ofélia;Pinheiros;2;0;Apartamento;R$ 2.920;4360;Rua Ofélia, São Paulo, Brasil;69;Pinheiros, Rua Ofélia;Pinheiros, Rua Ofélia, São Paulo, Brasil
Rua Augusta;Consolação;2;0;Apartamento;R$ 2.910;3683;Rua Augusta, São Paulo, Brasil;52;Consolação, Rua Augusta;Consolação, Rua Augusta, São Paulo, Brasil
Rua Botucatu;Vila Clementino;2;0;Apartamento;R$ 2.900;3976;Rua Botucatu, São Paulo, Brasil;75;Vila Clementino, Rua Botucatu;Vila Clementino, Rua Botucatu, São Paulo, Brasil
Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte);2;0;Apartamento;R$ 2.900;3732;Avenida Leôncio de Magalhães, São Paulo, Brasil;50;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães, São Paulo, Brasil
Rua Oscar Freire;Pinheiros;2;0;Apartamento;R$ 2.900;3701;Rua Oscar Freire, São Paulo, Brasil;60;Pinheiros, Rua Oscar Freire;Pinheiros, Rua Oscar Freire, São Paulo, Brasil
Alameda Jaú;Jardim Paulista;2;0;Apartamento;R$ 2.900;3560;Alameda Jaú, São Paulo, Brasil;88;Jardim Paulista, Alameda Jaú;Jardim Paulista, Alameda Jaú, São Paulo, Brasil
Rua Visconde de Parnaíba;Mooca;2;0;Apartamento;R$ 2.900;3452;Rua Visconde de Parnaíba, São Paulo, Brasil;38;Mooca, Rua Visconde de Parnaíba;Mooca, Rua Visconde de Parnaíba, São Paulo, Brasil
Rua Euclides de Andrade;Jardim Vera Cruz;2;0;Apartamento;R$ 2.876;3877;Rua Euclides de Andrade, São Paulo, Brasil;84;Jardim Vera Cruz, Rua Euclides de Andrade;Jardim Vera Cruz, Rua Euclides de Andrade, São Paulo, Brasil
Alameda Jaú;Jardim Paulista;2;0;Apartamento;R$ 2.850;3760;Alameda Jaú, São Paulo, Brasil;75;Jardim Paulista, Alameda Jaú;Jardim Paulista, Alameda Jaú, São Paulo, Brasil
Avenida São João;Centro;2;0;Apartamento;R$ 2.850;3704;Avenida São João, São Paulo, Brasil;147;Centro, Avenida São João;Centro, Avenida São João, São Paulo, Brasil
Rua Josef Kryss;Parque Industrial Tomas Edson;2;0;Apartamento;R$ 2.850;3310;Rua Josef Kryss, São Paulo, Brasil;42;Parque Industrial Tomas Edson, Rua Josef Kryss;Parque Industrial Tomas Edson, Rua Josef Kryss, São Paulo, Brasil
Rua Antônio Chagas;Chácara Santo Antônio (Zona Sul);2;0;Apartamento;R$ 2.825;3059;Rua Antônio Chagas, São Paulo, Brasil;100;Chácara Santo Antônio (Zona Sul), Rua Antônio Chagas;Chácara Santo Antônio (Zona Sul), Rua Antônio Chagas, São Paulo, Brasil
Rua Cubatão;Vila Mariana;2;0;Apartamento;R$ 2.810;3868;Rua Cubatão, São Paulo, Brasil;88;Vila Mariana, Rua Cubatão;Vila Mariana, Rua Cubatão, São Paulo, Brasil
Rua Piracuama;Pompeia;2;0;Apartamento;R$ 2.800;3851;Rua Piracuama, São Paulo, Brasil;59;Pompeia, Rua Piracuama;Pompeia, Rua Piracuama, São Paulo, Brasil
Rua Leôncio de Carvalho;Paraíso;2;0;Apartamento;R$ 2.800;3484;Rua Leôncio de Carvalho, São Paulo, Brasil;65;Paraíso, Rua Leôncio de Carvalho;Paraíso, Rua Leôncio de Carvalho, São Paulo, Brasil
Rua Conselheiro Nébias;Campos Elíseos;2;0;Apartamento;R$ 2.800;3376;Rua Conselheiro Nébias, São Paulo, Brasil;63;Campos Elíseos, Rua Conselheiro Nébias;Campos Elíseos, Rua Conselheiro Nébias, São Paulo, Brasil
Rua Mariano Procópio;Ipiranga;2;0;Apartamento;R$ 2.800;3370;Rua Mariano Procópio, São Paulo, Brasil;30;Ipiranga, Rua Mariano Procópio;Ipiranga, Rua Mariano Procópio, São Paulo, Brasil
Rua Serra de Jairé;Quarta Parada;2;0;Apartamento;R$ 2.800;3325;Rua Serra de Jairé, São Paulo, Brasil;38;Quarta Parada, Rua Serra de Jairé;Quarta Parada, Rua Serra de Jairé, São Paulo, Brasil
Rua Ouvidor Portugal;Vila Monumento;2;0;Apartamento;R$ 2.800;3193;Rua Ouvidor Portugal, São Paulo, Brasil;96;Vila Monumento, Rua Ouvidor Portugal;Vila Monumento, Rua Ouvidor Portugal, São Paulo, Brasil
Avenida Lauro Xerfan;Jardim Iva;2;0;Apartamento;R$ 2.800;3178;Avenida Lauro Xerfan, São Paulo, Brasil;43;Jardim Iva, Avenida Lauro Xerfan;Jardim Iva, Avenida Lauro Xerfan, São Paulo, Brasil
Avenida Senador Casemiro da Rocha;Mirandópolis;2;0;Apartamento;R$ 2.799;3277;Avenida Senador Casemiro da Rocha, São Paulo, Brasil;76;Mirandópolis, Avenida Senador Casemiro da Rocha;Mirandópolis, Avenida Senador Casemiro da Rocha, São Paulo, Brasil
Avenida Brigadeiro Luís Antônio;Bela Vista;2;0;Apartamento;R$ 2.780;3491;Avenida Brigadeiro Luís Antônio, São Paulo, Brasil;35;Bela Vista, Avenida Brigadeiro Luís Antônio;Bela Vista, Avenida Brigadeiro Luís Antônio, São Paulo, Brasil
Rua Fernandes Moreira;Chácara Santo Antônio (Zona Sul);2;0;Apartamento;R$ 2.750;3935;Rua Fernandes Moreira, São Paulo, Brasil;60;Chácara Santo Antônio (Zona Sul), Rua Fernandes Moreira;Chácara Santo Antônio (Zona Sul), Rua Fernandes Moreira, São Paulo, Brasil
Alameda Ribeirão Preto;Bela Vista;2;0;Apartamento;R$ 2.750;3741;Alameda Ribeirão Preto, São Paulo, Brasil;70;Bela Vista, Alameda Ribeirão Preto;Bela Vista, Alameda Ribeirão Preto, São Paulo, Brasil
Avenida Lacerda Franco;Cambuci;2;0;Apartamento;R$ 2.750;3485;Avenida Lacerda Franco, São Paulo, Brasil;88;Cambuci, Avenida Lacerda Franco;Cambuci, Avenida Lacerda Franco, São Paulo, Brasil
Rua Conselheiro Lafaiette;Mooca;2;0;Apartamento;R$ 2.750;3168;Rua Conselheiro Lafaiette, São Paulo, Brasil;44;Mooca, Rua Conselheiro Lafaiette;Mooca, Rua Conselheiro Lafaiette, São Paulo, Brasil
Rua Ribeirão Branco;Vila Bertioga;2;0;Apartamento;R$ 2.750;3056;Rua Ribeirão Branco, São Paulo, Brasil;41;Vila Bertioga, Rua Ribeirão Branco;Vila Bertioga, Rua Ribeirão Branco, São Paulo, Brasil
Rua Doutor Bitencourt Rodrigues;Sé;2;0;Apartamento;R$ 2.720;3645;Rua Doutor Bitencourt Rodrigues, São Paulo, Brasil;119;Sé, Rua Doutor Bitencourt Rodrigues;Sé, Rua Doutor Bitencourt Rodrigues, São Paulo, Brasil
Avenida Brigadeiro Luís Antônio;Jardim Paulista;2;0;Apartamento;R$ 2.710;3467;Avenida Brigadeiro Luís Antônio, São Paulo, Brasil;70;Jardim Paulista, Avenida Brigadeiro Luís Antônio;Jardim Paulista, Avenida Brigadeiro Luís Antônio, São Paulo, Brasil
Rua Amália de Noronha;Pinheiros;2;0;Apartamento;R$ 2.700;3384;Rua Amália de Noronha, São Paulo, Brasil;65;Pinheiros, Rua Amália de Noronha;Pinheiros, Rua Amália de Noronha, São Paulo, Brasil
Rua Barra Funda;Barra Funda;2;0;Apartamento;R$ 2.700;3319;Rua Barra Funda, São Paulo, Brasil;55;Barra Funda, Rua Barra Funda;Barra Funda, Rua Barra Funda, São Paulo, Brasil
Rua Valson Lopes;Vila Butantã;2;0;Apartamento;R$ 2.700;3096;Rua Valson Lopes, São Paulo, Brasil;39;Vila Butantã, Rua Valson Lopes;Vila Butantã, Rua Valson Lopes, São Paulo, Brasil
Avenida Conselheiro Rodrigues Alves;Vila Mariana;2;0;Apartamento;R$ 2.650;3686;Avenida Conselheiro Rodrigues Alves, São Paulo, Brasil;75;Vila Mariana, Avenida Conselheiro Rodrigues Alves;Vila Mariana, Avenida Conselheiro Rodrigues Alves, São Paulo, Brasil
Rua José Antônio Coelho;Vila Mariana;2;0;Apartamento;R$ 2.639;3148;Rua José Antônio Coelho, São Paulo, Brasil;50;Vila Mariana, Rua José Antônio Coelho;Vila Mariana, Rua José Antônio Coelho, São Paulo, Brasil
Parque Dom Pedro Ii;Centro Histórico De São Paulo;2;0;Apartamento;R$ 2.632;3374;Parque Dom Pedro Ii, São Paulo, Brasil;100;Centro Histórico De São Paulo, Parque Dom Pedro Ii;Centro Histórico De São Paulo, Parque Dom Pedro Ii, São Paulo, Brasil
Rua Amaral Gurgel;Vila Buarque;2;0;Apartamento;R$ 2.625;3271;Rua Amaral Gurgel, São Paulo, Brasil;34;Vila Buarque, Rua Amaral Gurgel;Vila Buarque, Rua Amaral Gurgel, São Paulo, Brasil
Jardim Gracinda;Jardim Gracinda;2;0;Apartamento;R$ 2.600;3547;Jardim Gracinda, São Paulo, Brasil;83;Jardim Gracinda, Jardim Gracinda;Jardim Gracinda, Jardim Gracinda, São Paulo, Brasil
Avenida Rio Branco;Campos Elíseos;2;0;Apartamento;R$ 2.600;3489;Avenida Rio Branco, São Paulo, Brasil;90;Campos Elíseos, Avenida Rio Branco;Campos Elíseos, Avenida Rio Branco, São Paulo, Brasil
Rua Gabus Mendes;República;2;0;Apartamento;R$ 2.600;3489;Rua Gabus Mendes, São Paulo, Brasil;96;República, Rua Gabus Mendes;República, Rua Gabus Mendes, São Paulo, Brasil
Rua Costa Carvalho;Pinheiros;2;0;Apartamento;R$ 2.600;3361;Rua Costa Carvalho, São Paulo, Brasil;70;Pinheiros, Rua Costa Carvalho;Pinheiros, Rua Costa Carvalho, São Paulo, Brasil
Rua Antônio de Mariz;Alto Da Lapa;2;0;Apartamento;R$ 2.600;3350;Rua Antônio de Mariz, São Paulo, Brasil;80;Alto Da Lapa, Rua Antônio de Mariz;Alto Da Lapa, Rua Antônio de Mariz, São Paulo, Brasil
Rua Carneiro da Cunha;Vila Da Saúde;2;0;Apartamento;R$ 2.600;3325;Rua Carneiro da Cunha, São Paulo, Brasil;67;Vila Da Saúde, Rua Carneiro da Cunha;Vila Da Saúde, Rua Carneiro da Cunha, São Paulo, Brasil
Rua Tabatinguera;Sé;2;0;Apartamento;R$ 2.600;3250;Rua Tabatinguera, São Paulo, Brasil;98;Sé, Rua Tabatinguera;Sé, Rua Tabatinguera, São Paulo, Brasil
Rua Rio Grande;Vila Mariana;2;0;Apartamento;R$ 2.600;3182;Rua Rio Grande, São Paulo, Brasil;67;Vila Mariana, Rua Rio Grande;Vila Mariana, Rua Rio Grande, São Paulo, Brasil
Avenida Braz Leme;Santana;2;0;Apartamento;R$ 2.600;3109;Avenida Braz Leme, São Paulo, Brasil;69;Santana, Avenida Braz Leme;Santana, Avenida Braz Leme, São Paulo, Brasil
Rua Mourato Coelho;Pinheiros;2;0;Apartamento;R$ 2.600;3023;Rua Mourato Coelho, São Paulo, Brasil;70;Pinheiros, Rua Mourato Coelho;Pinheiros, Rua Mourato Coelho, São Paulo, Brasil
Rua Ponte Pensa;Parada Inglesa;2;0;Apartamento;R$ 2.600;2936;Rua Ponte Pensa, São Paulo, Brasil;89;Parada Inglesa, Rua Ponte Pensa;Parada Inglesa, Rua Ponte Pensa, São Paulo, Brasil
Rua José Manso;Vila Matilde;2;0;Apartamento;R$ 2.600;2887;Rua José Manso, São Paulo, Brasil;43;Vila Matilde, Rua José Manso;Vila Matilde, Rua José Manso, São Paulo, Brasil
Rua Brigadeiro Galvão;Barra Funda;2;0;Apartamento;R$ 2.600;2850;Rua Brigadeiro Galvão, São Paulo, Brasil;64;Barra Funda, Rua Brigadeiro Galvão;Barra Funda, Rua Brigadeiro Galvão, São Paulo, Brasil
Rua José Manso;Vila Matilde;2;0;Apartamento;R$ 2.600;2759;Rua José Manso, São Paulo, Brasil;38;Vila Matilde, Rua José Manso;Vila Matilde, Rua José Manso, São Paulo, Brasil
Rua José Manso;Vila Matilde;2;0;Apartamento;R$ 2.600;2759;Rua José Manso, São Paulo, Brasil;42;Vila Matilde, Rua José Manso;Vila Matilde, Rua José Manso, São Paulo, Brasil
Avenida Nova Cantareira;Tucuruvi;2;0;Apartamento;R$ 2.580;3078;Avenida Nova Cantareira, São Paulo, Brasil;72;Tucuruvi, Avenida Nova Cantareira;Tucuruvi, Avenida Nova Cantareira, São Paulo, Brasil
Rua Xavier Krauss;Vila Leopoldina;2;0;Apartamento;R$ 2.550;3017;Rua Xavier Krauss, São Paulo, Brasil;35;Vila Leopoldina, Rua Xavier Krauss;Vila Leopoldina, Rua Xavier Krauss, São Paulo, Brasil
Rua Gandavo;Vila Clementino;2;0;Apartamento;R$ 2.500;3822;Rua Gandavo, São Paulo, Brasil;58;Vila Clementino, Rua Gandavo;Vila Clementino, Rua Gandavo, São Paulo, Brasil
Praça Professor José Azevedo Antunes;Lapa;2;0;Apartamento;R$ 2.500;3396;Praça Professor José Azevedo Antunes, São Paulo, Brasil;200;Lapa, Praça Professor José Azevedo Antunes;Lapa, Praça Professor José Azevedo Antunes, São Paulo, Brasil
Rua Ribeiro de Lima;Bom Retiro;2;0;Apartamento;R$ 2.500;3388;Rua Ribeiro de Lima, São Paulo, Brasil;114;Bom Retiro, Rua Ribeiro de Lima;Bom Retiro, Rua Ribeiro de Lima, São Paulo, Brasil
Rua Senador César Lacerda Vergueiro;Sumarezinho;2;0;Apartamento;R$ 2.500;3355;Rua Senador César Lacerda Vergueiro, São Paulo, Brasil;65;Sumarezinho, Rua Senador César Lacerda Vergueiro;Sumarezinho, Rua Senador César Lacerda Vergueiro, São Paulo, Brasil
Rua Tavares Bastos;Perdizes;2;0;Apartamento;R$ 2.500;3296;Rua Tavares Bastos, São Paulo, Brasil;82;Perdizes, Rua Tavares Bastos;Perdizes, Rua Tavares Bastos, São Paulo, Brasil
Rua Álvaro de Carvalho;Consolação;2;0;Apartamento;R$ 2.500;3239;Rua Álvaro de Carvalho, São Paulo, Brasil;38;Consolação, Rua Álvaro de Carvalho;Consolação, Rua Álvaro de Carvalho, São Paulo, Brasil
Rua Álvaro de Carvalho;Centro;2;0;Apartamento;R$ 2.500;3220;Rua Álvaro de Carvalho, São Paulo, Brasil;37;Centro, Rua Álvaro de Carvalho;Centro, Rua Álvaro de Carvalho, São Paulo, Brasil
Rua Genebra;Bela Vista;2;0;Apartamento;R$ 2.500;3217;Rua Genebra, São Paulo, Brasil;70;Bela Vista, Rua Genebra;Bela Vista, Rua Genebra, São Paulo, Brasil
Rua Bertioga;Chácara Inglesa;2;0;Apartamento;R$ 2.500;3141;Rua Bertioga, São Paulo, Brasil;39;Chácara Inglesa, Rua Bertioga;Chácara Inglesa, Rua Bertioga, São Paulo, Brasil
Avenida da Liberdade;Liberdade;2;0;Apartamento;R$ 2.500;3115;Avenida da Liberdade, São Paulo, Brasil;79;Liberdade, Avenida da Liberdade;Liberdade, Avenida da Liberdade, São Paulo, Brasil
Rua do Lavapés;Cambuci;2;0;Apartamento;R$ 2.500;3046;Rua do Lavapés, São Paulo, Brasil;45;Cambuci, Rua do Lavapés;Cambuci, Rua do Lavapés, São Paulo, Brasil
Rua Antônio de Godói;Centro;2;0;Apartamento;R$ 2.500;3032;Rua Antônio de Godói, São Paulo, Brasil;53;Centro, Rua Antônio de Godói;Centro, Rua Antônio de Godói, São Paulo, Brasil
Praça Marechal Deodoro;Santa Cecilia;2;0;Apartamento;R$ 2.500;3026;Praça Marechal Deodoro, São Paulo, Brasil;79;Santa Cecilia, Praça Marechal Deodoro;Santa Cecilia, Praça Marechal Deodoro, São Paulo, Brasil
Rua Martim Burchard;Brás;2;0;Apartamento;R$ 2.500;2993;Rua Martim Burchard, São Paulo, Brasil;39;Brás, Rua Martim Burchard;Brás, Rua Martim Burchard, São Paulo, Brasil
Rua Amandaú;Tucuruvi;2;0;Apartamento;R$ 2.500;2976;Rua Amandaú, São Paulo, Brasil;35;Tucuruvi, Rua Amandaú;Tucuruvi, Rua Amandaú, São Paulo, Brasil
Rua General Glicério;Centro;2;0;Apartamento;R$ 2.500;2946;Rua General Glicério, São Paulo, Brasil;66;Centro, Rua General Glicério;Centro, Rua General Glicério, São Paulo, Brasil
Rua João Pereira;Lapa;2;0;Apartamento;R$ 2.500;2920;Rua João Pereira, São Paulo, Brasil;35;Lapa, Rua João Pereira;Lapa, Rua João Pereira, São Paulo, Brasil
Rua François Coty;Cambuci;2;0;Apartamento;R$ 2.500;2896;Rua François Coty, São Paulo, Brasil;34;Cambuci, Rua François Coty;Cambuci, Rua François Coty, São Paulo, Brasil
Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte);2;0;Apartamento;R$ 2.500;2796;Avenida Leôncio de Magalhães, São Paulo, Brasil;72;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães, São Paulo, Brasil
Avenida Lins de Vasconcelos;Vila Mariana;2;0;Apartamento;R$ 2.500;2786;Avenida Lins de Vasconcelos, São Paulo, Brasil;62;Vila Mariana, Avenida Lins de Vasconcelos;Vila Mariana, Avenida Lins de Vasconcelos, São Paulo, Brasil
R. Evans;Vila Matilde;2;0;Apartamento;R$ 2.500;2746;R. Evans, São Paulo, Brasil;49;Vila Matilde, R. Evans;Vila Matilde, R. Evans, São Paulo, Brasil
Rua Corrientes;Jardim Peri;2;0;Apartamento;R$ 2.500;2699;Rua Corrientes, São Paulo, Brasil;70;Jardim Peri, Rua Corrientes;Jardim Peri, Rua Corrientes, São Paulo, Brasil
Rua Santa Luzia;Liberdade;2;0;Apartamento;R$ 2.500;2596;Rua Santa Luzia, São Paulo, Brasil;92;Liberdade, Rua Santa Luzia;Liberdade, Rua Santa Luzia, São Paulo, Brasil
Rua Avanhandava;Bela Vista;2;0;Apartamento;R$ 2.496;3102;Rua Avanhandava, São Paulo, Brasil;45;Bela Vista, Rua Avanhandava;Bela Vista, Rua Avanhandava, São Paulo, Brasil
Avenida Jurucê;Indianópolis;2;0;Apartamento;R$ 2.480;3811;Avenida Jurucê, São Paulo, Brasil;75;Indianópolis, Avenida Jurucê;Indianópolis, Avenida Jurucê, São Paulo, Brasil
Rua José Arzão;Vila Andrade;2;0;Apartamento;R$ 2.480;3529;Rua José Arzão, São Paulo, Brasil;51;Vila Andrade, Rua José Arzão;Vila Andrade, Rua José Arzão, São Paulo, Brasil
Rua Paulo Vidigal Vicente de Azevedo;Vila Siqueira (Zona Norte);2;0;Apartamento;R$ 2.480;2812;Rua Paulo Vidigal Vicente de Azevedo, São Paulo, Brasil;70;Vila Siqueira (Zona Norte), Rua Paulo Vidigal Vicente de Azevedo;Vila Siqueira (Zona Norte), Rua Paulo Vidigal Vicente de Azevedo, São Paulo, Brasil
Rua França Pinto;Vila Mariana;2;0;Apartamento;R$ 2.462;3447;Rua França Pinto, São Paulo, Brasil;57;Vila Mariana, Rua França Pinto;Vila Mariana, Rua França Pinto, São Paulo, Brasil
Avenida Diógenes Ribeiro de Lima;Alto De Pinheiros;2;0;Apartamento;R$ 2.450;3505;Avenida Diógenes Ribeiro de Lima, São Paulo, Brasil;57;Alto De Pinheiros, Avenida Diógenes Ribeiro de Lima;Alto De Pinheiros, Avenida Diógenes Ribeiro de Lima, São Paulo, Brasil
Rua Prates;Bom Retiro;2;0;Apartamento;R$ 2.450;2995;Rua Prates, São Paulo, Brasil;80;Bom Retiro, Rua Prates;Bom Retiro, Rua Prates, São Paulo, Brasil
Rua dos Trilhos;Mooca;2;0;Apartamento;R$ 2.450;2482;Rua dos Trilhos, São Paulo, Brasil;90;Mooca, Rua dos Trilhos;Mooca, Rua dos Trilhos, São Paulo, Brasil
