Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Armando D'almeida;Jardim Rizzo;3;2;Casa;R$ 3.600;3767;Rua Armando D'almeida, São Paulo, Brasil;110;Jardim Rizzo, Rua Armando D'almeida;Jardim Rizzo, Rua Armando D'almeida, São Paulo, Brasil
Rua Rainúnculos;Vila Alpina;3;2;Casa;R$ 3.590;3834;Rua Rainúnculos, São Paulo, Brasil;100;Vila Alpina, Rua Rainúnculos;Vila Alpina, Rua Rainúnculos, São Paulo, Brasil
Avenida Doutor Lino de Moraes Leme;Vila Paulista;3;2;Casa;R$ 3.510;3684;Avenida Doutor Lino de Moraes Leme, São Paulo, Brasil;152;Vila Paulista, Avenida Doutor Lino de Moraes Leme;Vila Paulista, Avenida Doutor Lino de Moraes Leme, São Paulo, Brasil
Avenida Doutor Lino de Moraes Leme;Jardim Aeroporto;3;2;Casa;R$ 3.500;4019;Avenida Doutor Lino de Moraes Leme, São Paulo, Brasil;136;Jardim Aeroporto, Avenida Doutor Lino de Moraes Leme;Jardim Aeroporto, Avenida Doutor Lino de Moraes Leme, São Paulo, Brasil
Rua Capitão Raimundo Barros Nascimento;Km 18;3;2;Casa;R$ 3.500;3983;Rua Capitão Raimundo Barros Nascimento, São Paulo, Brasil;200;Km 18, Rua Capitão Raimundo Barros Nascimento;Km 18, Rua Capitão Raimundo Barros Nascimento, São Paulo, Brasil
R. Jorge Alves Ferreira;Jardim Colombo;3;2;Casa;R$ 3.500;3918;R. Jorge Alves Ferreira, São Paulo, Brasil;171;Jardim Colombo, R. Jorge Alves Ferreira;Jardim Colombo, R. Jorge Alves Ferreira, São Paulo, Brasil
Avenida Pedro Bueno;Jabaquara;3;2;Casa;R$ 3.500;3912;Avenida Pedro Bueno, São Paulo, Brasil;150;Jabaquara, Avenida Pedro Bueno;Jabaquara, Avenida Pedro Bueno, São Paulo, Brasil
Rua Orlando Murgel;Parque Jabaquara;3;2;Casa;R$ 3.500;3856;Rua Orlando Murgel, São Paulo, Brasil;250;Parque Jabaquara, Rua Orlando Murgel;Parque Jabaquara, Rua Orlando Murgel, São Paulo, Brasil
Rua Professor Djalma Bento;Jardim Luanda;3;2;Casa;R$ 3.500;3840;Rua Professor Djalma Bento, São Paulo, Brasil;110;Jardim Luanda, Rua Professor Djalma Bento;Jardim Luanda, Rua Professor Djalma Bento, São Paulo, Brasil
Rua Arapés;Jardim Sabara;3;2;Casa;R$ 3.500;3776;Rua Arapés, São Paulo, Brasil;150;Jardim Sabara, Rua Arapés;Jardim Sabara, Rua Arapés, São Paulo, Brasil
Avenida Pedro Bueno;Jabaquara;3;2;Casa;R$ 3.500;3748;Avenida Pedro Bueno, São Paulo, Brasil;140;Jabaquara, Avenida Pedro Bueno;Jabaquara, Avenida Pedro Bueno, São Paulo, Brasil
Rua Cerquilho;Vila São Geraldo;3;2;Casa;R$ 3.500;3744;Rua Cerquilho, São Paulo, Brasil;176;Vila São Geraldo, Rua Cerquilho;Vila São Geraldo, Rua Cerquilho, São Paulo, Brasil
Rua Guilherme Rehder;Parque Jabaquara;3;2;Casa;R$ 3.500;3743;Rua Guilherme Rehder, São Paulo, Brasil;107;Parque Jabaquara, Rua Guilherme Rehder;Parque Jabaquara, Rua Guilherme Rehder, São Paulo, Brasil
Rua Miguel Ribeiro;Campo Grande;3;2;Casa;R$ 3.500;3698;Rua Miguel Ribeiro, São Paulo, Brasil;141;Campo Grande, Rua Miguel Ribeiro;Campo Grande, Rua Miguel Ribeiro, São Paulo, Brasil
Rua Manuel Gadelho;Vila Centenário;3;2;Casa;R$ 3.500;3648;Rua Manuel Gadelho, São Paulo, Brasil;140;Vila Centenário, Rua Manuel Gadelho;Vila Centenário, Rua Manuel Gadelho, São Paulo, Brasil
Avenida Itaberaba;Itaberaba;3;2;Casa;R$ 3.500;3648;Avenida Itaberaba, São Paulo, Brasil;150;Itaberaba, Avenida Itaberaba;Itaberaba, Avenida Itaberaba, São Paulo, Brasil
Rua Tapendi;Vila Catupia;3;2;Casa;R$ 3.490;3649;Rua Tapendi, São Paulo, Brasil;120;Vila Catupia, Rua Tapendi;Vila Catupia, Rua Tapendi, São Paulo, Brasil
Rua Haroldo Paranhos;Parque Jabaquara;3;2;Casa;R$ 3.440;3850;Rua Haroldo Paranhos, São Paulo, Brasil;147;Parque Jabaquara, Rua Haroldo Paranhos;Parque Jabaquara, Rua Haroldo Paranhos, São Paulo, Brasil
Rua Ministro Guimarães Natal;Parque Jabaquara;3;2;Casa;R$ 3.428;3773;Rua Ministro Guimarães Natal, São Paulo, Brasil;175;Parque Jabaquara, Rua Ministro Guimarães Natal;Parque Jabaquara, Rua Ministro Guimarães Natal, São Paulo, Brasil
Rua Otávio Marques;Vila Eldízia;3;2;Casa;R$ 3.420;3610;Rua Otávio Marques, São Paulo, Brasil;240;Vila Eldízia, Rua Otávio Marques;Vila Eldízia, Rua Otávio Marques, São Paulo, Brasil
